"FlowerID","Species","SepalLength_cm","SepalWidth_cm","PetalLength_cm","PetalWidth_cm","SepalArea_cm2","PetalArea_cm2","PetalSize"
1,"Setosa",5.1,3.5,1.4,0.2,17.85,0.28,"Small"
2,"Setosa",4.9,3,1.4,0.2,14.7,0.28,"Small"
3,"Setosa",4.7,3.2,1.3,0.2,15.04,0.26,"Small"
4,"Setosa",4.6,3.1,1.5,0.2,14.26,0.3,"Small"
5,"Setosa",5,3.6,1.4,0.2,18,0.28,"Small"
6,"Setosa",5.4,3.9,1.7,0.4,21.06,0.68,"Small"
7,"Setosa",4.6,3.4,1.4,0.3,15.64,0.42,"Small"
8,"Setosa",5,3.4,1.5,0.2,17,0.3,"Small"
9,"Setosa",4.4,2.9,1.4,0.2,12.76,0.28,"Small"
10,"Setosa",4.9,3.1,1.5,0.1,15.19,0.15,"Small"
11,"Setosa",5.4,3.7,1.5,0.2,19.98,0.3,"Small"
12,"Setosa",4.8,3.4,1.6,0.2,16.32,0.32,"Small"
13,"Setosa",4.8,3,1.4,0.1,14.4,0.14,"Small"
14,"Setosa",4.3,3,1.1,0.1,12.9,0.11,"Small"
15,"Setosa",5.8,4,1.2,0.2,23.2,0.24,"Small"
16,"Setosa",5.7,4.4,1.5,0.4,25.08,0.6,"Small"
17,"Setosa",5.4,3.9,1.3,0.4,21.06,0.52,"Small"
18,"Setosa",5.1,3.5,1.4,0.3,17.85,0.42,"Small"
19,"Setosa",5.7,3.8,1.7,0.3,21.66,0.51,"Small"
20,"Setosa",5.1,3.8,1.5,0.3,19.38,0.45,"Small"
21,"Setosa",5.4,3.4,1.7,0.2,18.36,0.34,"Small"
22,"Setosa",5.1,3.7,1.5,0.4,18.87,0.6,"Small"
23,"Setosa",4.6,3.6,1,0.2,16.56,0.2,"Small"
24,"Setosa",5.1,3.3,1.7,0.5,16.83,0.85,"Small"
25,"Setosa",4.8,3.4,1.9,0.2,16.32,0.38,"Small"
26,"Setosa",5,3,1.6,0.2,15,0.32,"Small"
27,"Setosa",5,3.4,1.6,0.4,17,0.64,"Small"
28,"Setosa",5.2,3.5,1.5,0.2,18.2,0.3,"Small"
29,"Setosa",5.2,3.4,1.4,0.2,17.68,0.28,"Small"
30,"Setosa",4.7,3.2,1.6,0.2,15.04,0.32,"Small"
31,"Setosa",4.8,3.1,1.6,0.2,14.88,0.32,"Small"
32,"Setosa",5.4,3.4,1.5,0.4,18.36,0.6,"Small"
33,"Setosa",5.2,4.1,1.5,0.1,21.32,0.15,"Small"
34,"Setosa",5.5,4.2,1.4,0.2,23.1,0.28,"Small"
35,"Setosa",4.9,3.1,1.5,0.2,15.19,0.3,"Small"
36,"Setosa",5,3.2,1.2,0.2,16,0.24,"Small"
37,"Setosa",5.5,3.5,1.3,0.2,19.25,0.26,"Small"
38,"Setosa",4.9,3.6,1.4,0.1,17.64,0.14,"Small"
39,"Setosa",4.4,3,1.3,0.2,13.2,0.26,"Small"
40,"Setosa",5.1,3.4,1.5,0.2,17.34,0.3,"Small"
41,"Setosa",5,3.5,1.3,0.3,17.5,0.39,"Small"
42,"Setosa",4.5,2.3,1.3,0.3,10.35,0.39,"Small"
43,"Setosa",4.4,3.2,1.3,0.2,14.08,0.26,"Small"
44,"Setosa",5,3.5,1.6,0.6,17.5,0.96,"Small"
45,"Setosa",5.1,3.8,1.9,0.4,19.38,0.76,"Small"
46,"Setosa",4.8,3,1.4,0.3,14.4,0.42,"Small"
47,"Setosa",5.1,3.8,1.6,0.2,19.38,0.32,"Small"
48,"Setosa",4.6,3.2,1.4,0.2,14.72,0.28,"Small"
49,"Setosa",5.3,3.7,1.5,0.2,19.61,0.3,"Small"
50,"Setosa",5,3.3,1.4,0.2,16.5,0.28,"Small"
51,"Versicolor",7,3.2,4.7,1.4,22.4,6.58,"Medium"
52,"Versicolor",6.4,3.2,4.5,1.5,20.48,6.75,"Medium"
53,"Versicolor",6.9,3.1,4.9,1.5,21.39,7.35,"Medium"
54,"Versicolor",5.5,2.3,4,1.3,12.65,5.2,"Medium"
55,"Versicolor",6.5,2.8,4.6,1.5,18.2,6.9,"Medium"
56,"Versicolor",5.7,2.8,4.5,1.3,15.96,5.85,"Medium"
57,"Versicolor",6.3,3.3,4.7,1.6,20.79,7.52,"Medium"
58,"Versicolor",4.9,2.4,3.3,1,11.76,3.3,"Medium"
59,"Versicolor",6.6,2.9,4.6,1.3,19.14,5.98,"Medium"
60,"Versicolor",5.2,2.7,3.9,1.4,14.04,5.46,"Medium"
61,"Versicolor",5,2,3.5,1,10,3.5,"Medium"
62,"Versicolor",5.9,3,4.2,1.5,17.7,6.3,"Medium"
63,"Versicolor",6,2.2,4,1,13.2,4,"Medium"
64,"Versicolor",6.1,2.9,4.7,1.4,17.69,6.58,"Medium"
65,"Versicolor",5.6,2.9,3.6,1.3,16.24,4.68,"Medium"
